ID=170 LEN=8 DATA=[22 58 21 02 B7 71 02 22]
ID=171 LEN=8 DATA=[AC C4 C3 4A 78 81 02 5C]
ID=172 LEN=8 DATA=[AD CC D3 0A 98 85 02 CC]
ID=173 LEN=8 DATA=[B1 24 13 0B D7 7D 02 63]
ID=174 LEN=8 DATA=[27 8C 72 82 B6 69 02 6C]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 02 F3]
ID=176 LEN=8 DATA=[23 60 31 42 E7 75 02 66]
ID=177 LEN=8 DATA=[AE 90 E4 CA D7 79 02 96]
ID=17C LEN=8 DATA=[48 3C 00 00 00 18 00 DB]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 01 2C]
ID=170 LEN=8 DATA=[22 58 21 02 97 71 03 0F]
ID=171 LEN=8 DATA=[AC C4 C3 4A 78 81 03 41]
ID=172 LEN=8 DATA=[AD CC D3 0A 98 85 03 D1]
ID=173 LEN=8 DATA=[B1 24 13 0B D7 7D 03 7E]
ID=174 LEN=8 DATA=[26 80 61 42 A6 69 03 CA]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 03 EE]
ID=176 LEN=8 DATA=[23 60 31 42 E7 75 03 7B]
ID=177 LEN=8 DATA=[AE 90 E4 CA D7 79 03 8B]
ID=17C LEN=8 DATA=[48 3C 00 00 00 00 00 35]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 02 0B]
ID=170 LEN=8 DATA=[22 58 21 02 97 71 00 28]
ID=171 LEN=8 DATA=[AB C4 B3 4A 78 81 00 58]
ID=172 LEN=8 DATA=[AD CC D3 0A 98 85 00 F6]
ID=173 LEN=8 DATA=[B1 24 13 0B D7 7D 00 59]
ID=174 LEN=8 DATA=[26 80 61 42 A6 69 00 ED]
ID=175 LEN=8 DATA=[25 60 51 42 D7 75 00 F9]
ID=176 LEN=8 DATA=[23 60 31 42 E7 75 00 5C]
ID=177 LEN=8 DATA=[AE 90 E4 CA D7 79 00 AC]
ID=17C LEN=8 DATA=[48 3C 00 00 00 08 00 6F]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 03 16]
ID=170 LEN=8 DATA=[22 58 21 02 97 71 01 35]
ID=171 LEN=8 DATA=[AB C4 B3 4A 78 81 01 45]
ID=172 LEN=8 DATA=[AD CC D3 4A A8 85 01 57]
ID=173 LEN=8 DATA=[B1 24 13 0B D7 7D 01 44]
ID=174 LEN=8 DATA=[26 80 61 42 A6 69 01 F0]
ID=175 LEN=8 DATA=[25 60 51 42 D7 75 01 E4]
ID=176 LEN=8 DATA=[24 60 41 82 F7 75 01 C6]
ID=177 LEN=8 DATA=[AE 90 E4 CA D7 79 01 B1]
ID=17C LEN=8 DATA=[48 3C 00 00 00 10 00 81]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 00 31]
ID=170 LEN=8 DATA=[22 58 21 02 B7 71 02 22]
ID=171 LEN=8 DATA=[AB C4 B3 4A 78 81 02 62]
ID=172 LEN=8 DATA=[AD CC D3 4A A8 85 02 70]
ID=173 LEN=8 DATA=[B0 24 03 8B D7 7D 02 E5]
ID=174 LEN=8 DATA=[27 80 71 42 A6 69 02 64]
ID=175 LEN=8 DATA=[25 60 51 42 D7 75 02 C3]
ID=176 LEN=8 DATA=[24 60 41 82 F7 75 02 E1]
ID=177 LEN=8 DATA=[AE 90 E4 CA D7 79 02 96]
ID=17C LEN=8 DATA=[48 3C 00 00 00 18 00 DB]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 01 2C]
ID=170 LEN=8 DATA=[22 58 21 02 B7 71 03 3F]
ID=171 LEN=8 DATA=[AB C4 B3 0A 78 81 03 EB]
